=== Unique Countries and their Counts ===
Country                   Count
==============================
                          2
Angola                    1
Cambodia                  6
Sudan                     1
Paraguay                  1
Kazakhstan                1
Portugal                  6
Syria                     3
Bahamas                   1
Greece                    11
Cayman Islands            2
Mongolia                  1
Latvia                    1
Iran                      4
Morocco                   6
Panama                    1
Guatemala                 2
Iraq                      2
Chile                     29
Nepal                     2
Argentina                 91
Ukraine                   3
Ghana                     5
West Germany              5
India                     1046
Canada                    445
Turkey                    113
Belgium                   90
Namibia                   2
Finland                   11
Taiwan                    89
South Africa              62
Bermuda                   1
Georgia                   2
Jamaica                   1
Peru                      10
Germany                   226
Puerto Rico               1
Hong Kong                 105
United States             3690
Somalia                   1
Thailand                  70
Vietnam                   7
Sweden                    42
Malawi                    1
Liechtenstein             1
Poland                    41
Nigeria                   103
Jordan                    9
Bulgaria                  10
Kuwait                    8
Croatia                   4
Uruguay                   14
Sri Lanka                 1
United Kingdom            806
United Arab Emirates      37
Kenya                     6
Switzerland               19
Samoa                     1
Spain                     232
Palestine                 1
Lebanon                   31
Venezuela                 4
Cuba                      1
Azerbaijan                1
Czech Republic            22
Burkina Faso              1
Israel                    30
Australia                 160
Soviet Union              3
Cameroon                  1
Cyprus                    1
Malaysia                  26
Iceland                   11
Armenia                   1
South Korea               231
Austria                   12
Mozambique                1
Luxembourg                12
Brazil                    97
Algeria                   3
Slovenia                  3
Colombia                  52
Ecuador                   1
Hungary                   11
Japan                     318
Belarus                   1
Mauritius                 2
Albania                   1
New Zealand               33
Senegal                   3
Italy                     100
Ethiopia                  1
Afghanistan               1
Singapore                 41
Egypt                     117
East Germany              1
Vatican City              1
Russia                    27
Malta                     3
Saudi Arabia              13
Netherlands               50
Pakistan                  24
China                     162
Ireland                   46
Qatar                     10
Slovakia                  1
France                    393
Serbia                    7
Lithuania                 1
Romania                   14
Philippines               83
Bangladesh                4
Nicaragua                 1
Norway                    30
Botswana                  1
Denmark                   48
Dominican Republic        1
Mexico                    169
Zimbabwe                  3
Uganda                    1
Montenegro                1
Indonesia                 90
