title,director,type,countries,releaseYear
"Blood & Water","","TV Show","South Africa","2021"
"Ganglands","Julien Leclercq","TV Show","","2021"
"Jailbirds New Orleans","","TV Show","","2021"
"Kota Factory","","TV Show","India","2021"
"Midnight Mass","Mike Flanagan","TV Show","","2021"
"My Little Pony: A New Generation","Robert Cullen, José Luis Ucha","Movie","","2021"
"Sankofa","Haile Gerima","Movie","United States, Ghana, Burkina Faso, United Kingdom, Germany, Ethiopia","1993"
"The Great British Baking Show","Andy Devonshire","TV Show","United Kingdom","2021"
"The Starling","Theodore Melfi","Movie","United States","2021"
"Vendetta: Truth, Lies and The Mafia","","TV Show","","2021"
"Bangkok Breaking","Kongkiat Komesiri","TV Show","","2021"
"Je Suis Karl","Christian Schwochow","Movie","Germany, Czech Republic","2021"
"Confessions of an Invisible Girl","Bruno Garotti","Movie","","2021"
"Crime Stories: India Detectives","","TV Show","","2021"
"Dear White People","","TV Show","United States","2021"
"Europe's Most Dangerous Man: Otto Skorzeny in Spain","Pedro de Echave García, Pablo Azorín Williams","Movie","","2020"
"Falsa identidad","","TV Show","Mexico","2020"
"Intrusion","Adam Salky","Movie","","2021"
"Jaguar","","TV Show","","2021"
"Monsters Inside: The 24 Faces of Billy Milligan","Olivier Megaton","TV Show","","2021"
"Resurrection: Ertugrul","","TV Show","Turkey","2018"
"Avvai Shanmughi","K.S. Ravikumar","Movie","","1996"
"Go! Go! Cory Carson: Chrissy Takes the Wheel","Alex Woo, Stanley Moore","Movie","","2021"
"Jeans","S. Shankar","Movie","India","1998"
"Love on the Spectrum","","TV Show","Australia","2021"
"Minsara Kanavu","Rajiv Menon","Movie","","1997"
"Grown Ups","Dennis Dugan","Movie","United States","2010"
"Dark Skies","Scott Stewart","Movie","United States","2013"
"Paranoia","Robert Luketic","Movie","United States, India, France","2013"
"Ankahi Kahaniya","Ashwiny Iyer Tiwari, Abhishek Chaubey, Saket Chaudhary","Movie","","2021"
"Chicago Party Aunt","","TV Show","","2021"
"Sex Education","","TV Show","United Kingdom","2020"
"Squid Game","","TV Show","","2021"
"Tayo and Little Wizards","","TV Show","","2020"
"The Father Who Moves Mountains","Daniel Sandu","Movie","","2021"
"The Stronghold","Cédric Jimenez","Movie","","2021"
"Angry Birds","","TV Show","Finland","2018"
"Birth of the Dragon","George Nolfi","Movie","China, Canada, United States","2017"
"Chhota Bheem","","TV Show","India","2021"
"He-Man and the Masters of the Universe","","TV Show","United States","2021"
"Jaws","Steven Spielberg","Movie","United States","1975"
"Jaws 2","Jeannot Szwarc","Movie","United States","1978"
"Jaws 3","Joe Alves","Movie","United States","1983"
"Jaws: The Revenge","Joseph Sargent","Movie","United States","1987"
"My Heroes Were Cowboys","Tyler Greco","Movie","","2021"
"Safe House","Daniel Espinosa","Movie","South Africa, United States, Japan","2012"
"The Smart Money Woman","Bunmi Ajakaiye","TV Show","","2020"
"Training Day","Antoine Fuqua","Movie","United States","2001"
"Castle and Castle","","TV Show","Nigeria","2021"
"Dharmakshetra","","TV Show","India","2014"
"InuYasha the Movie 2: The Castle Beyond the Looking Glass","Toshiya Shinohara","Movie","Japan","2002"
